index,org_code,period,attendances,breaches
572,RM3,Feb-17,"7,598.0","1,723.0"
574,RCU,Feb-17,"4,342.0",112.0
575,RHQ,Feb-17,"8,460.0","2,947.0"
578,RTR,Feb-17,"8,954.0",933.0
580,RE9,Feb-17,"4,414.0",285.0
582,RVY,Feb-17,"5,712.0","1,228.0"
584,RBN,Feb-17,"7,740.0","2,008.0"
586,RWJ,Feb-17,"6,831.0","1,695.0"
587,RMP,Feb-17,"6,352.0",835.0
588,RTD,Feb-17,"9,419.0",997.0
591,RFR,Feb-17,"5,567.0","1,417.0"
593,RM2,Feb-17,"7,435.0",964.0
594,RTX,Feb-17,"6,113.0","1,385.0"
596,RWW,Feb-17,"5,985.0","1,428.0"
599,RBL,Feb-17,"7,050.0","2,076.0"
602,RRF,Feb-17,"6,605.0","1,063.0"
603,RCB,Feb-17,"7,930.0","2,504.0"
605,RTK,Feb-17,"7,498.0","1,503.0"
611,RXH,Feb-17,"11,012.0","2,366.0"
614,RXQ,Feb-17,"6,153.0","1,161.0"
620,RN7,Feb-17,"7,750.0","1,313.0"
622,RBD,Feb-17,"3,084.0",192.0
624,RVV,Feb-17,"10,975.0","3,700.0"
626,RXC,Feb-17,"7,951.0","1,903.0"
628,RDU,Feb-17,"17,357.0","1,527.0"
630,RTE,Feb-17,"9,772.0","2,248.0"
631,RN3,Feb-17,"5,913.0","2,076.0"
633,RN5,Feb-17,"7,789.0","1,022.0"
636,R1F,Feb-17,"3,039.0",600.0
640,RWF,Feb-17,"10,386.0","1,789.0"
642,RPA,Feb-17,"8,460.0","2,016.0"
643,RVJ,Feb-17,"6,160.0","1,128.0"
644,RBZ,Feb-17,"3,116.0",522.0
648,RTH,Feb-17,"9,816.0","2,005.0"
651,RK9,Feb-17,"7,229.0","1,085.0"
653,RD3,Feb-17,"4,830.0",414.0
655,RHU,Feb-17,"7,901.0","2,493.0"
659,RHW,Feb-17,"8,112.0",817.0
661,REF,Feb-17,"5,324.0","1,324.0"
